Order ID,Product ID,Customer ID,Product Name,Category,Region,Date of Sale,Quantity Sold,Unit Price,Discount,Shipping Cost,Payment Method,Customer Name,Customer Email,Customer Address
1001,P300,C444,Perhaps Low,Books,North America,2024-09-13,3,72.53,0.17,9.27,Bank Transfer,Andrew Harrell,denisebrown@phillips-ashley.com,"""273 Amy Stravenue, Jessefort, NY 92931"""
1002,P864,C625,Argue Station,Shoes,North America,2025-02-26,4,192.96,0.25,6.65,Debit Card,Jessica Spencer DVM,zcopeland@koch.com,"""433 John Spur, New Timothyhaven, FL 22570"""
1003,P121,C271,Recent Dream,Accessories,North America,2025-03-08,4,465.13,0.23,12.35,PayPal,Dr. Aaron Howe,wyattthomas@fisher.biz,"""8645 Joseph Shoal, Nicoleview, CA 32652"""
1004,P768,C427,Best Minute,Books,Asia,2025-02-02,5,97.76,0.09,7.09,Bank Transfer,Cynthia Thomas,rubiosheila@hill-thomas.com,"""5860 Wells Common, Laceyside, RI 10366"""
1005,P956,C569,Focus More,Electronics,North America,2024-10-29,5,465.85,0.12,6.65,PayPal,Jeanette Cummings,ashleycooke@ruiz-crosby.org,"""665 Anthony Route Suite 087, Crossland, WV 75393"""
1006,P282,C302,Control Perhaps,Shoes,Australia,2024-06-04,5,452.42,0.03,12.56,Bank Transfer,Jonathan Anderson,joseph19@hotmail.com,"""2003 James Fort, Nicholasside, WA 39021"""
1007,P772,C517,Tree Third,Clothing,Europe,2025-02-24,2,33.94,0.01,13.25,Debit Card,Steven Lane,jasonbrown@perry.com,"""0187 Diamond Road, New Barbarafort, AR 14456"""
1008,P143,C805,Want Teach,Accessories,Europe,2025-03-31,5,483.28,0.09,6.56,Bank Transfer,Elizabeth Ritter,mballard@todd.info,"""73326 Bentley Fort, Gabrielmouth, MD 74934"""
1009,P517,C530,When Perform,Accessories,North America,2025-03-14,3,474.32,0.01,19.13,Bank Transfer,David Jenkins,dixonluis@clark-perry.com,"""7633 Matthew Shore Apt. 132, Donaldside, MD 82170"""
1010,P885,C694,Method Nice,Clothing,North America,2024-05-14,4,427.68,0.15,22.17,Bank Transfer,Brendan Tran,stephengill@yahoo.com,"""2858 Walker Mews, West Nicole, CO 85060"""
1011,P384,C467,Ago Develop,Shoes,Asia,2024-06-26,5,489.38,0.2,5.64,Credit Card,Sarah Dunn,dporter@yahoo.com,"""8228 Patterson Summit, New Allisonport, DC 66822"""
1012,P601,C306,Unit Concern,Electronics,Europe,2025-04-12,3,241.12,0.03,8.54,PayPal,Charles Murphy,tuckerjustin@yahoo.com,"""430 Julie Union, Goldenmouth, VT 53582"""
1013,P455,C335,And Which,Clothing,Europe,2024-09-25,5,83.87,0.11,17.62,Bank Transfer,Rhonda Snow,millerdavid@hotmail.com,"""5523 Andrews Forges Suite 377, Courtneyhaven, AZ 97966"""
1014,P948,C114,Change Suffer,Clothing,Europe,2025-02-28,1,185.02,0.11,23.89,Bank Transfer,Bonnie Pena,tiffany02@moss.org,"""92186 Thompson Cliffs, Geraldmouth, MA 75213"""
1015,P221,C381,Among Though,Books,Asia,2024-10-19,2,413.91,0.08,17.44,Bank Transfer,Todd Taylor,matthewsheidi@gmail.com,"""95323 Stephanie Canyon, Tiffanyton, KY 68091"""
1016,P438,C106,Strategy She,Clothing,North America,2024-12-21,1,165.17,0.23,21.04,Debit Card,Anthony Martin,umccall@green.info,"""772 Christopher Flat Suite 238, Williamchester, KS 34700"""
1017,P732,C143,Behind Organization,Accessories,Asia,2024-11-18,4,410.87,0.03,5.47,Debit Card,Miranda Johnson,cwilliams@bentley.com,"""2676 Dylan Lane, Rayland, OR 07801"""
1018,P580,C219,Land But,Shoes,Europe,2024-06-28,2,79.75,0.19,24.3,Debit Card,Kelly Mccoy,spierce@cunningham.net,"""826 Ellis Pine, Garciaville, IL 80874"""
1019,P291,C148,Face Fill,Shoes,Australia,2024-08-08,1,108.0,0.23,6.99,Debit Card,Cynthia Wolf,nicholas99@anderson-hatfield.org,"""8242 Lewis Walk Apt. 657, Hintonfort, HI 32694"""
1020,P183,C926,Concern Fast,Shoes,Australia,2024-08-11,4,45.21,0.28,8.6,Credit Card,James Allen,derrick27@gmail.com,"""02728 Mark Mountains, Justinbury, AL 36539"""
1021,P421,C336,Your Article,Clothing,Australia,2025-02-05,2,372.84,0.06,8.96,Bank Transfer,Dean Davis,ubest@yahoo.com,"""11429 Kayla Dam Apt. 228, South Eric, IL 26934"""
1022,P236,C196,Key Late,Electronics,Australia,2024-09-12,3,395.39,0.24,6.86,Debit Card,Anna Schmitt,whitneyjessica@yahoo.com,"""3851 Tammy Fords, Robinport, IA 52398"""
1023,P680,C211,Idea Dark,Electronics,Asia,2024-10-23,2,214.48,0.01,23.67,Bank Transfer,Todd Richardson,adavis@yahoo.com,"""05063 Yates Radial Apt. 697, Ashleyburgh, WV 76767"""
1024,P859,C387,Think Work,Electronics,Asia,2024-11-02,3,226.84,0.15,8.81,Debit Card,Douglas Mitchell,morrisjoyce@white.info,"""329 Cook Mews, Goodwinview, NH 65973"""
1025,P870,C538,Pattern Clear,Books,North America,2024-09-20,1,252.86,0.29,18.68,Bank Transfer,Donna Ramos,morganlarson@yahoo.com,"""966 Tina Stream Suite 929, East Nathanielstad, AL 13791"""
1026,P533,C627,View Campaign,Clothing,Asia,2025-04-01,5,23.2,0.06,18.75,PayPal,Cheryl Kim,alexisduke@jones.net,"""954 Jared Bypass Apt. 127, West Emma, NM 59897"""
1027,P942,C935,Mrs Speak,Books,Asia,2025-01-31,2,124.36,0.01,20.11,PayPal,Janice Howell,shannon74@gmail.com,"""2152 Doris Neck, Micheleburgh, WI 34806"""
1028,P157,C100,Feeling Thank,Books,Asia,2024-06-14,4,112.01,0.04,23.3,Bank Transfer,Samantha Horn,lisa60@perez.net,"""3051 Perez Course Suite 955, South Michaelside, WV 17512"""
1029,P410,C748,Policy Stand,Electronics,Australia,2024-09-24,1,290.08,0.09,10.23,Credit Card,Christine Martin,jonwilliams@melton-washington.info,"""60784 Smith Junctions, Wilsonshire, IL 91879"""
